"_c0","text"
"金融算法工程师","业务导向,智能驾驶,数学/统计相关专业,机器学习算法/工程化经验,深度学习经验	算法工程师,岗位职责:,1、利用数据挖掘/机器学习/深度学习等相关算法，解决核心业务需求级模型研发和训练;,2、基于业务特性梳理并提炼关键指标定义，搭建指标体系，保证指标口径的准确性以及对业务的可解释性；,3、业务指标相关的数据分析、数据挖掘、算法设计、算法优化，搭建算法库并与相关应用系统耦合；,4、参与包括分词、命名实体识别、词性标注、文本分类、指代消解和句式识别等在内的NLP技术基础能力建设；,5、了解信贷业务相关政策、法规，对信贷产品的风控策略有深度的了解,任职要求:,1、大学本科及以上学历，计算机、统计或数学专业背景优先；,2、掌握常见的回归、分类、聚类等机器学习理论与方法；,3、编程基础扎实，熟悉算法和数据结构，有较丰富Python的研发经验优先；,4、了解Hadoop体系，数据存储、数仓建设、数据检索等相关技术；,5、了解互联网信贷风控模式和信贷全流程，负责风控场景的数据提取和分析，结合业务场景需要进行变量衍生和组合开发。,6、理解金融机构线上化信贷业务的痛点和风控模型需求点，设计合理的风控解决方案,7、负责评分模型的研发，包括但不限于申请评分卡、贷中监控评分卡和贷后催收评分卡,8、协同产品完成模型部署和监控，结合模型实际效果进行迭代,8、有电商或医药行业经验者优先。"
"文库_策略算法工程师","深度学习,大模型算法,机器学习,自然语言处理算法,推荐算法,搜索算法,Python,C/C++	工作职责
-参与LLM和AIGC核心算法工作，基于海量的内容（文本、图像、视频）及前沿的大模型，支持文教互娱的算法工作，提高业务效果
-利用LLM前沿技术方向，负责AI内容生成和编辑(prompt设计、大模型SFT和预训练，大模型强化学习等)、内容理解和质量识别(质量分级、内容结构化、智能标签/摘要，优质文案等)、场景应用(需求理解、用户刻画、个性化推荐)等
-熟悉AIGC前沿技术，例如：CLIP，Stable Diffusion，ControlNet，Imagen，Dreambooth等。结合大模型（文心一言）和AIGC技术，支撑PPT生成、个人简历、对话系统等多模态场景。
-关注用户体验提升，通过对数据的洞察，深入挖掘产品潜在价值和需求，通过技术创新推动产品成长
任职资格
-熟练掌握自然语言处理、计算机视觉，强化学习，推荐系统等常用算法，对大规模预训练模型和下游应用，有深入实践者优先
-有扎实的机器学习实践经验，熟悉一种主流的机器学习框架（PyTorch，Tensorflow，MXNet，PaddlePaddle）
-具备良好的学习能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-有顶级会议（ACL/EMNLP/NIPs/ICML/ICLR/CVPR/ICCV//ECCV等）论文者优先
-优秀的逻辑思维能力，积极主动，责任心强，有优秀分析和解决问题能力，良好的团队合作和沟通能力"
"算法工程师","算法设计,数据库开发,数据开发,数据采集,Java,C语言,C++,Python	任职要求：
1.数学、计算机等相关专业，本科及以上学历，3年以上算法类工作经验；
2.熟悉数据结构、大数据数据库、机器学习和深度学习算法、神经网络等技术；
3.熟练掌握C/C++、python、matlab等至少一种语言编程，熟悉linux开发环境；
4.熟练使用一种或几种深度学习框架（如tensorflow、caffe、mxnet、pytorch等）；
5.具有大数据处理（清洗、挖掘、分析计算等）类项目的成功实战经验；
6.具有优秀的逻辑思维能力和数据分析能力，以及良好的沟通能力与团队协作能力；
7.熟悉动力电池物理数学模型者优先；
岗位职责：
1.学习并掌握公司现有成熟的基于大数据业务的核心算法，并持续优化提升算法结果的精准性；
2.随着行业电池和电池控制等技术进步，迭代升级原来的核心算法，提升系统的适用性和精准性；
3.跟随电池行业技术突变，对新型电池系统设计新的模型和算法，并持续升级系统的适用性和精准性；
4.根据客户的新需求，增加基于大数据建模和计算的新算法扩展；
5.根据公司发展规划和技术推进情况，持续扩充公司的专利池和软著等知识产权；
6.对公司对应的给类数据和数据库进行日常维护。"
"机器视觉算法工程师","PCA算法,决策树,SA算法,视觉算法,C#,C/C++,C语言,Halcon,C++	岗位要求：
1、本科或以上学历，计算机等相关专业，有两年以上相关工作经验；
2、熟练使用一种软件编程语言c#/c++；
3、基于 Visionpron/Halcon 视觉算法等开发过成功的视觉定位应用案例者优先；
4、熟悉定位、尺寸测量、表面缺陷检测等。"
"算法工程师","机器视觉	岗位职责：
1、根据公司产品和业务需求，进行多平台下的机器视觉软件研发；
2、根据项目需要进行项目需求分析，软件架构设计，功能开发，文档编写等工作；
3、根据公司战略安排进行机器视觉有关算法的预研及开发；
4、负责编写相关开发文档和手册。
任职要求：
1、数学，自动化，计算机等相关专业本科以上学历，3年以上Linux/Windows系统C/C++开发经验；
2、精通C/C++语言，熟悉Linux或者Windows应用开发，熟练使用Linux/Windows主要API，理解软件设计思想；
3、至少在如下某一领域有实际开发经验：网络通信、多媒体、驱动、开源库移植、框架设计和实现，如果是其他领域请说明；
4、较强的理解能力，需求分析和团队合作能力，乐于专研于技术和原理。
五险一金足额缴纳
额外年休假
节假日福利
商业保险
高额奖金：1-6个月年终奖金
居住证积分+人才引进落户
股东背景：高通、红杉资本、科沃斯机器人等
高管团队：索尼、惠普、软银等世界500强企业
核心技术：深度学习、边缘计算、强化学习、迁移学习
荣誉资质：2019年上海市“临港杯”智能制造大赛冠军，高通&amp;红杉中国智能互联创业大赛冠军，创新中国Demo China总决赛冠军等殊荣"
"算法工程师（电力-设备检测）","推荐算法,设备全生命周期,能源电力,数字孪生,监控系统	<div> 工作职责:</div><div> 1. 与团队一起研究追踪智能运维领域热点问题和行业最新科研进展</div><div> 2. 研究开发和优化算法，主要内容集中在时间序列数据相关算法，包括但不限于时序数据预测、时间序列异常检测、时间序列聚类、时间序列分类等</div><div> 3. 参与算法的工程落地和商业应用，并根据实际业务场景分析优化算法模型，提升算法适用性</div><div> 任职资格:</div><div> 1. 计算机、数学等理工科相关专业，硕士及以上学历，博士优先；</div><div> 2. 有Top级论文发表经历或有ACM等算法竞赛获奖经历者优先；</div><div> 3. 具备良好的数理基础；</div><div> 4. 熟练掌握经典算法原理，在算法设计、统计、最优化理论、机器学习、深度学习、等一个或多个领域有深入研究；</div><div> 5． 有设备生命周期管理、状态分类，多测点（多指标预测），关键指标、关键测量量的未来变化等研究经验</div>"
"图像算法工程师","机器视觉,算法开发,图像处理,算法研究,OpenCV	职位描述
从事机器视觉在图像识别、目标检测等领域的算法研发及相关产品研发。

​任职要求
1、本科以上，熟悉图像处理算法，有图像处理算法工作或项目开发经验者优先；
2、有良好的的编程能力，精通C++，熟悉opencv，熟悉深度学习更佳；
3、数理逻辑基础好，思维活跃；
4、工作认真、专注、责任心重，时间观念强；
5、良好的团队合作精神、良好的分析与解决问题的能力；
6、熟悉工业检测或有过类似项目经验者、怀揣创业热情者优。"
"高级虚拟数字人算法工程师","研究导向,语音/图像识别	岗位职责：
1. 研究三维人脸/人体/头发/服装的重建、表情/动作的合成和迁移；
2. 探索AI技术在虚拟数字人的应用，包括音唇同步、表情生成、动作生成、表情识别与合成等。
3. 研究多模态分析、表示、合成、理解和生成等相关技术。
任职要求：
1、硕士及以上学历，计算机相关专业，熟悉计算机图形学、语音、图像、NLP、三维重建、多模态、人机交互等AI相关技术，有AI结合图形学技术应用经验或在相关领域发表过顶会论文者优先；
2. 扎实的算法和数据结构基础，至少熟练使用C++/Java/python其中一种编程语言；"
"NLP算法工程师","语言模型,深度学习,GPT,BERT,深度学习框架,Python,算法开发	职责描述：
1、负责NLP模型与对话机器人系统的开发、训练和部署
2、协助准备对话机器人训练物料并持续迭代优化
3、负责总结best practice，将标准方案打造成可以复用的对话交互库；
4、设计机器人效果评价体系，能独立拆解问题，持续推进体验提升；
5、负责持续监控和跟进对话机器人上线后效果，并针对性优化。
任职要求：
1. 计算机、人工智能等相关专业本科及以上学历，3年以上工作经验；
2. 熟悉NLP及机器人对话系统的原理和应用；对语义理解匹配、常用语言模型，长文本理解，口语理解有深入研究和相关实践经验；
3. 对国内大厂的中文机器人对话系统应用过、比较过，有深入的研究；
4. 熟悉Python下的机器学习与深度学习框架;
5. 熟悉BERT, spaCy, Hugging Face, GPT-3等语言模型。
加分项
1. 有医疗场景NLP相关研发经验者优先；
2. 有在顶会发表过论文或者在主要NLP比赛中取得优异成绩者优先；
3. 有较强的编码能力，能独立完成建模和工程解决方案的落地工作；
4. 有较强学习能力、团队精神以及沟通能力者优先；
5. 有心理学/认知科学/脑科学/医学背景者优先。"
"自动驾驶-AI算法工程师","深度学习,Python,C++,深度学习框架,C/C++,C语言	1.负责自动驾驶 规划模块的设计和开发，应对各种挑战的场景；

2.通过数据驱动、机器学习等提升自动驾驶车辆的规划能力；

3. 实现模型部署，优化算法和软件，使软件稳定高效的运行；

4. 分析和解决仿真和测试中的问题，实现算法的工程落地；

任职要求：

1. 硕士及以上学历，计算机、自动化、数学、航空航天等相关专业；

2. 扎实的数学基础，良好的数学建模能力和中英文文献阅读能力；

3. 扎实的C/C++、python编程基础；

4. 熟悉Tensorflow、Pytorch或Caffe等深度学习框架；

5. 熟悉CNN、LSTM、MLP、POMDP等深度学习方法及其训练；

6. 具有较丰富的现场调试经验，能够思路清晰、高效的找到问题并解决问题；

7. 拥有较强的逻辑思维能力、自我驱动能力和团队协助能力。"
"机器人控制算法工程师","AGV基本算法	岗位职责：
负责AGV自主机器人控制系统的开发
负责AGV基本算法的研究
负责AGV模型仿真代码实现 
AGV叉车局部路径规划；
AGV叉车局部路径曲率优化，局部路径包络检测


岗位要求：
本科以上学历，物理，数学，自动化，电子等相关专业
掌握C/C++语言开发，熟悉数据结构
熟悉ARM平台算法部署优化
具备较强的责任感.团队合作和奉献精神
具备良好的独立解决问题的能力和一定的创新能力
具备良好的学习能力，能够在工作实践过程中快速成长"
"雷达算法工程师 (Auto) - 2023届","	注：此base工作地在上海和深圳都有！,工作职责：,1.77GHz/79GHz毫米波雷达信号处理算法开发，负责雷达系统算法仿真设计；,2.77GHz/79GHz毫米波雷达数据处理算法开发，负责雷达目标聚类、跟踪、目标识别以及ADAS功能开发算法研发设计；,3.负责毫米波雷达测距、测速和测角等功能算法；,4.负责实测、实验数据的处理；,5.设计应用场景和相关测试用例，并针对各种应用场景对算法和软件进行测试；,6.撰写相应的设计文档，负责算法知识产权工作。,岗位要求：,1.熟悉FMCW雷达信号处理理论、CFAR目标检测、MIMO信号处理、DOA方向估计理论；,2.熟悉卡尔曼滤波、数据融合、目标聚类以及多目标跟踪理论；,3.有较强的数学功底、熟悉统计信号处理相关理论；,4.计算机类、电子信息类、应用数学或人工智能方向的相关专业；,5.具有良好人际沟通能力、主动性及团队合作精神。,上海base：,上海浦东新区盛夏路666号普洛斯盛银大厦E幢7楼。"
"感知定位算法工程师","导航算法	<p>负责研发自动驾驶中的定位技术，通过融合多种传感器数据，提高车辆的导航精度和可靠性。</p><p>主要职责：</p><p>1.负责开发多源传感器相关的标定、自标定与在线标定等融合标定系统；负责基于视觉、雷达、车身数据为主的环境感知重建、重定位；</p><p>2.负责跟踪国内外SLAM、SfM、VO/VIO、视觉感知算法的发展方向，并结合当前公司产品、项目，实现研究成果的高质量转化，配合集成团队进行算法的工程落地；</p><p>任职资格：</p><p>1.有较好的编程能力或算法设计能力，熟练使用常用算法库，本科及以上学历，计算机、自动化、智能科学、数学等相关专业，具备良好的英文文献阅读能力；</p><p>2.计算机视觉、多视几何的数理基础功底扎实，对SLAM、SfM、BA、图优化等某一方向有深入的理解；有自动驾驶、高级辅助驾驶、相关研发项目经验者优先，有主流期刊与会议论文发表、竞赛优异成绩、开源社区优质贡献者从优；</p><p>3.沟通交流和逻辑能力良好，有责任心、创造力、好奇心以及团队荣誉感与合作精神。</p>"
"惯性导航算法工程师","导航算法	职责描述：<br><br>1、负责惯性导航系统的开发；<br><br>2、惯导的程序和算法设计；<br><br>3、调试、测试与问题分析。<br><br><br>任职要求：<br><br>1. 硕士以上学历，惯性导航等相关专业（电子通信、自动化等）；<br><br>2. 在数学建模方面有所建树，精通C语言编程，熟悉硬件电路，具备较强的融会贯通的能力和数理功底；<br><br>3. 熟悉惯性导航原理或组合导航算法； <br><br>4.惯导算法项目经验者优先。 <br><br><br>职位福利：五险一金、绩效奖金、加班补助、包吃、包住、员工旅游、节日福利、年底双薪"
"视觉图像算法工程师 11-15K+五险一金","	        1. 负责图像处理核心算法的研究，包括算法理解、实现、优化等工作；  2. 承担深度学习图像处理工具的构建与深度学习算法在实际业务场景的落地；  3. 根据项目需求开发其他数据标注模型和算法测试模型。                "
"SLAM算法专家","激光雷达,算法设计,算法研究,算法开发,C++,OpenCV,图像处理,算法优化	职责描述：
1、研发激光雷达SLAM算法，设计、优化多传感器(Lidar，避障传感器，IMU、Camera、码盘、超声波传感器等)的融合算法，并推进实现产品化；
2、解决未知环境中的地图构建算法，包括SLAM问题中的信息配准融合，追踪等前端算法以及闭环检测，地图优化等后端算法；
3、研发基于多传感器的定位技术、自主运动和控制算法，例如建图、定位、路径规划、自主导航/避障/脱困、重定位算法等，解决大环境下的闭环检测等课题；
4、提供激光雷达、避障传感器产品研发方向、规划、技术路线的指导意见，解决客户实际问题，分析、验证激光雷达运行的各种场景定位异常，并给出解决方案。
任职要求：
1、985/211硕士以上学历，机器视觉、数学、电子、计算机等相关专业优先； 
2、具有5年以上室内移动机器人、扫地机等相关产品的SLAM多传感器融合开发经验；
3、有Gmapping、Cartographer 或 Karto SLAM、Horn SLAM相关算法开发经验；
4、精通C++、Opencv 、Eigen 等开源库；
5、 熟悉Linux环境，有ROS开发经验；熟悉KF、EKF、粒子滤波等状态估计算法；
6、熟悉前端帧间匹配如ICP、爬山算法、梯度下降法，熟悉闭环检测、地图优化等后端算法；
7、 熟悉基本图像处理算法，有激光点云特征提取、描述、匹配等经验；
8、了解激光雷达与里程计、IMU陀螺仪的工作原理，有一定的多传感器数据融合经验。"
"图像算法工程师","数据分析,OpenCV,图像处理,数字图像,C/C++,数据处理,MLlib,图像识别,图像模糊处理,指纹识别	岗位职责：
1、图像处理开发与实现，，完成图像处理算法整合；
2、激光激发染料产生荧光光斑识别与提取，图像预处理去除背景噪声；分析图像计算亮斑的计算阈值，计算亮斑中心的坐标与亮斑的强度；物体与光斑的边缘识别，荧光斑点的精确定位，以及定位规则的调整优化；
3、熟悉医疗行业各种耗材的基础类别识别，液面高度识别，条码识别等；
4、对项目技术关键难点问题提取出解决方案与实现。

任职要求：
1、图像处理、计算机、信号处理等相关专业，本科五年，硕士三年以上工作经验；
2、具有数字图像处理基础，有超分辨成像算法工作经验者优先；
3、有较强的数据分析能力，能熟练进行数据处理和分析；
4、具有较强的应用转化能力，熟练使用C++/C等编程语言；
5、具有团队合作精神，积极主动地交流沟通，能够阅读中/英文文献和技术手册。

公司福利：
👉福利五险一金、免费员工餐、免费年度体检（含基因检测）、免费班车 、定期团建
👉带薪年假、婚假、产假/陪产假、节日福利 、项目奖金、年终奖金
👉外语兴趣班、免费健身房、员工乐队、绿影协会等社团组织、智能化、人性化的办公环境。

培养体系
👉入职培训：公司组织集中培训，培训内容包括：企业文化、规章制度、商务礼仪、职场小常识、职业生涯规划、情绪管理等通用类课程。
👉专业技能培训：内部轮岗学习，导师带教，对本职工作内容及部门工作有深入的了解，快速适应工作节奏。"
"算法工程师（校招）","硕士,图像重建,图像处理,视觉处理,视觉算法,图像优化,图像学习,图像分析,信号处理,深度学习	岗位职责：
1、设计和验证CT图像重建、图像处理相关算法；
2、图像降噪、图像增强；
3、分析图像问题，优化图像质量；
4、根据临床需求制定相应的图像指标，并提出图像提升方案。
任职要求：
1、物理/数学/信号处理/生物医学医学工程等相关专业，硕士或博士学历，接受优秀应届生；对于应届生第4、5点不是强制要求。
2、高级工程师要求博士学历或硕士5年工作经验；
3、有图像处理、计算机视觉算法经验优先；
4、熟悉CT图像重建算法者优先；
5、有深度学习图像处理项目经验者优先。

截止日期：2023年11月24日"
"算法开发工程师","C/C++,计算机相关专业,机器学习算法/工程化经验,英文读写能力良好,业务导向,语音/图像识别,生物医疗,机器学习,图像算法,算法工程化经验,发表算法相关优秀论文,优秀开源项目经历	岗位职责：
1. 负责影像系统的算法实施工作；
2. 负责算法模块或子系统的开发，包括算法评估优化、工程化实现（编码、优化和测试）、代码维护等工作。

任职要求：
1. 计算机科学、生物医学工程、应用数学等相关专业或方向，硕士研究生学历及以上，1-3年工作经验；
2. 掌握基本的数字信号处理和图像处理相关算法；
3. 熟悉算法开发相关软件, 精通C/C++语言;
4. 具备软件开发的模块化、面向对象思维，和良好的编码规范；
5. 具备较好的英文阅读能力；自我驱动力强，对技术开发有强烈的意愿，具有良好的团队合作精神及沟通能力。"
"大模型算法工程师","业务导向,C/C++	1、负责大模型(视觉或语言)的预训练开发和调优工作；
    2、负责大模型在具体业务场景的适配和应用，如fine-tuning、prompt设计等；
    3、负责大模型的推理优化和应用部署，如压缩量化、推理加速等。
    4、负责跟进领域最新进展，预研和评估大模型在机器人领域的应用,如Gato、RT-1、PaLM-E。
任职要求：
    1、硕士及以上学历，985/211院校毕业优先。计算机相关专业，熟悉深度学习、计算机视觉、自然语言处理等领域的专业知识，具有3年以上工作经验；
    2、熟悉Transformer、BERT、GPT系列、T5、PaLM等模型，对大模型的数据处理及训练技术有深入理解；
    3、熟悉Pytorch/Tensorflow深度学习框架，至少掌握Python或C++其中一种编程语言；
    4、熟悉常见的强化学习算法原理(如DQN、DDPG、A3C、PPO等)，有相关训练和开发经验者优先；
    5、具有TensorRT、ONNX推理优化和部署经验者优先；
    6、曾在AI、CV、NLP顶级会议(如：AAAI、CVPR、ACL等)发表论文者优先。"
"AI工程师","	        岗位职责：1.利用图像处理、机器学习、深度学习、NLP等AI技术支持公司AI相关应用的设计与研发；2.负责业务环节中应用问题的解决，持续迭代优化算法；3.跟踪前沿算法理论，并将优秀的算法应用到业务场景中，提升业务效果与产品体验；4.撰写技术文档、专利等。岗位要求：1.计算机、人工智能等相关专业***统招硕士及以上学历；2.有良好的图像处理CV、机器学习ML等研究背景，熟悉基于深度学习的计算机视觉相关算法，深入理解CNN、RNN相关算法理论知识；3.熟练掌握C++、Python等编程语言，有较强的算法分析和实现能力；4.掌握TensorFlow、PyTorch等一种以上深度学习框架，具备调参技巧、算法和模型部署经验；5.良好的表达和沟通能力、学习能力与团队协作精神。优先条件：1.有2~3年深度学习方向项目开发经验；2.具备查找和阅读英文文献、技术文档的能力；3.在人工智能与机器学习会议或者期刊上有代表性成果或论文。                "
"slam算法工程师","定位算法,导航算法,视频算法,机器人算法,算法研究	工作职责<br>1、研究单目或者多目视觉下（雷达等其他传感器）的目标定位算法，以及环境地图构建；<br>2、负责公司AR引擎相关研究；<br>3、负责相关技术文档的撰写；<br>任职要求<br>1.硕士及以上学历，数学、自控、计算机、模式识别、人工智能、信号处理等相关专业（优秀者可放宽至本科）；<br>2.熟悉图像处理、计算机视觉（特别是立体视觉）等算法。掌握深度学习基础知识和工作流程，并有实际落地项目经验优先；<br>3.熟悉SLAM的基础理论和算法（如多视图几何、Bundle Adjustment、GrapS、EKF、PF等），有实际SLAM系统开发经验或比赛经验；<br>4.熟悉一个或多个实时SLAM算法框架，包括MSCKF、VINS-Mono、OKVIS、ORB-SLAM、SVO等；<br>5.熟悉主动深度传感器计算、RGB-D三维重建、场景理解、光照估计、3D物体识别/追踪等算法者优先；<br>6.精通C/C++/Python编程语言，具有良好的代码质量和风格，能高效的论文阅读及原型实现能力；<br>7.发表过高水平的图像、视觉、机器学习相关学术论文/专利者优先。"
"ai图像算法工程师","视觉图像算法,立体视觉,图像处理,PyTorch,TensorFlow,Python,MATLAB,工业视觉检测	<div>  我公司诚聘具备以下岗位能力、工作经验和专业技能的中高级工程师：</div><div>  <br></div><div>  岗位职责说明</div><div>  1. 研究和开发新的基于人工智能和机器学习的图像处理算法和技术，包括变压器图纸的图像生成、分类、识别、分割、重建等；</div><div>  2. 针对特定应用场景，设计和开发相应的变压器零部件图纸图像处理算法和模型，并进行优化和改进；</div><div>  3. 分析和解决图像处理过程中的问题，提高算法和模型的稳定性和性能；</div><div>  4. 利用深度学习技术提高图像处理的自动化程度和准确度，实现对大规模图像数据的快速分析和处理；</div><div>  5. 负责开发和维护相应的软件系统和工具，支持图像处理算法的部署和应用；</div><div>  6. 与其他团队成员合作，如数据分析师、软件开发人员等，共同完成项目任务；</div><div>  7. 不断学习新的技术和方法，保持在图像处理领域的技术领先地位。</div><div>  <br></div><div>  <div>   工作经验  </div>  <div>   1. 具有相关领域5年及以上工作经验者优先：大型电力电气设备图像处理、图像算法开发、深度学习模型应用等方面的经验。有相关项目经验更佳。  </div>  <div>   2. 熟练掌握常用工具和技术：应聘者需要熟悉常用的图像处理工具和技术，如OpenCV、PIL等，熟练使用Python等编程语言，熟悉常用的深度学习框架和工具，熟练使用TensorFlow/Caffe/MXNet/PyTorch中至少一种或多种深度学习框架  </div>  <div>   3. 拥有算法优化和调试经验：应聘者需要拥有算法优化和调试的经验，能够熟练掌握常用的算法调试工具和技术，如PyCharm等。  </div>  <div>   4. 具备大型电力设备的设计和运行经验，了解变压器的结构、原理、特性等；  </div>  <div>   5. 具备团队协作和沟通能力：应聘者需要具备良好的团队协作和沟通能力，能够与团队成员和相关部门进行有效的沟通和协作，共同完成项目目标。  </div>  <div>   6. 具备独立解决问题的能力：应聘者需要具备独立解决问题的能力，能够快速理解和解决问题，有良好的问题分析和解决能力，能够独立完成项目任务。  </div></div><div>  <br></div><div>  <div>   专业知识  </div>  <div>   1. 数学基础：熟练掌握线性代数、概率论与数理统计、最优化等数学知识，能够运用这些数学方法解决图像处理中的问题。  </div>  <div>   2. 计算机科学：熟悉计算机系统和网络结构，掌握计算机视觉、机器学习、深度学习等相关算法和技术，熟练使用至少一种编程语言。  </div>  <div>   3. 图像处理：了解数字信号处理、计算机视觉、计算机图形学等图像处理相关知识，掌握图像生成、分类、识别、分割、重建等算法和技术。  </div>  <div>   4. 变压器知识：熟悉变压器的结构和工作原理，了解变压器的故障模式、故障诊断、维护和保护等方面的知识。  </div></div><div>  <br></div><div>  <div>   专业技能  </div>  <div>   1. 图像算法开发：熟练掌握基于深度学习的图像处理算法，包括卷积神经网络、循环神经网络、生成对抗网络等，能够使用常用的深度学习框架（如TensorFlow、PyTorch等）进行图像算法开发。包括特征提取、目标检测、图像分割等，可以用于图像处理和识别。  </div>  <div>   2. 变压器图像分析：能够对大型变压器的红外图像、局部放电图像、X光图像等进行分析和诊断，熟悉大型变压器的故障特征和诊断方法，能够使用图像处理技术进行故障诊断和分析。  </div>  <div>   3. 算法优化和调试：能够对图像算法进行优化和调试，提高算法的稳定性和准确性，优化算法的性能和速度，提高算法的可扩展性和可维护性。  </div>  <div>   4. 数据处理和模型训练：能够处理和清洗数据，构建数据集，使用常用的模型训练技术，如迁移学习、模型微调等，进行模型的训练和优化。  </div>  <div>   5. 团队协作和沟通：具备良好的团队协作和沟通能力，能够与团队成员和相关部门进行有效的沟通和协作，共同完成项目目标。  </div></div>"
"云计算工程师","云计算运维,Linux,云桌面,H3CLOUD OS	<div> 岗位职责与要求：</div><div> 1.具有3年以上云计算交付或运维经验； </div><div> 2.熟练掌握Linux维护命令及操作;</div><div> 3.熟悉交换机的二三层原理，掌握静态路由、动态路由的基本配置，具备一定的网络排错能力； </div><div> 4.熟练使用服务器/CAS/UIS/云桌面等产品，能够根据客户需求进行快速响应和问题处理;</div><div> 5.掌握亚信 for CAS/UIS的基本操作和配置;</div><div> 6.了解H3Cloud OS产品的基本功能和相关配置; </div><div> 7.具备云计算产品常见故障分析及排错能力；</div><div> 8.具有H3CSE-Cloud认证或同类认</div><div> <br></div>"
"智能计算","	一、岗位介绍
运营商TAC业务中国区客户服务中心远程技术支持工程师，为华为运营商客户提供远程的技术支持及信息咨询服务。
TAC岗位：为华为运营商客户提供远程的技术支持及故障处理服务。
二、应聘条件
1、统招本科及以上学历 3年及以上工作经验 良好沟通能力
2、具备丰富的云、桌面云、虚拟化或者服务器、存储、灾备或者网络安全设施的维护经验产品维护及工程经验;
3、熟悉IVS或者智能协作产品，参与过IVS或者智能协作产品项目交付的优先
三、薪酬待遇：
1、待遇组成：基本工资+加班费+季度奖金+年终奖金+各类业务奖项奖金
注：①根据面试时的综合能力。
②超出规定工作时间后，严格按2倍工资计算加班费。
③季度和年终奖金按业务情况分配。
④工作期间设立有各类奖项，努力既可获得。
2、福利：6险（养老保险、医疗保险、失业保险、工伤保险、生育保险和意外伤害险），及住房公积金，每月享有通讯补贴等。"
"算法工程师（文本挖掘方向）","NLP,文本挖掘,文本分析,语义分析,银行项目	 岗位职责：<br>1、针对项目业务需求，提供高质量的NLP算法解决方案<br>2、参与搭建文本挖掘模型，如处理大量文本数据，训练和优化文本分类模型，并不断评估和优化<br>3、对客户及项目团队进行技术指导和培训<br>任职要求<br>1、本科及以上学历，计算机类及相关专业毕业优先<br>2、3年以上NLP算法工作经验，有文本挖掘相关项目经验<br>3、熟悉NLP1个或多个领域，如：文本分类、实体识别、预训练等<br>4、良好的开发能力，熟悉python和常用的算法库和深度学习训练框架 ，有文本挖掘实战经验<br>5、熟悉Tensorflow、PyTorch等深度学习框架并有实际项目经验<br>6、具有自主学习能力和自我驱动力"
"图算法工程师","深度学习算法,机器学习算法,Java,Python,分布式技术,算法基础,数据挖掘,人工智能	图谱算法工程师： 
工作职责： 
参与网盘图谱服务化平台的开发和实现 
通过对数据的敏锐洞察，深入挖掘产品潜在价值和需求，设计并优化图相关的策略、框架，进而提供更有价值的产品和服务，通过技术创新推动产品成长

要求： 
1.计算机相关专业本科及以上学历，具有以下任一或以上领域相关的理论背景：机器学习/数据挖掘/自然语言处理/信息检索/推荐，并有1年以上相关工作经验 
2.良好的编程能力，精通至少一门编程语言（python、C/C++，scala，java等），熟悉Linux平台
3.具有spark，hadoop等使用经验者优先
4.具有知识图谱构建和应用经验者优先
5.具有海量数据挖掘、图计算应用等经验者优先"
"智能算法工程师（集群方向）","无人机集群,协同控制,任务分配,智能决策,多体智能	<div> 岗位职责：</div><div> 1、根据无人机任务规划/编队技术方案及任务管理计算机设备性能要求，完成设备选型；</div><div> 2、设计多无人机任务分配算法、航路规划以及编队控制飞行算法，并能够进行仿真验证；</div><div> 3、设计智能AI算法的设计和部署，搭建算法框架</div><div> 4、熟悉AI硬件原理及功能，能够进行算法测试，部署及验证</div><div> 5、结合机间链路以及地面主控软件，建立半物理仿真环境，验证集群无人机飞行地面验证；</div><div> 任职要求：</div><div> 1、导航制导与控制专业、自动化专业、飞行力学等专业，本科及以上学历；</div><div> 2、熟悉蜂群无人机协同控制相关算法，主要包括任务分配、航路规划和编队飞行算法；</div><div> 3、熟练使用Matlab/Simulink进行建模与仿真；扎实的C/C++语言功底，良好的编程风格，有实际项目开发经验；</div><div> 4、熟悉无人机气动、导航、制导、航电、控制等相关的专业；熟悉C/C++；</div><div> 5、熟悉常用的规划路径、任务分配、一致性协同理论；</div><div> 6、熟悉深度学习、强化学习算法原理，掌握人工智能算法架构。</div>"
"算法工程师","数据挖掘,数据建模	职责描述：
1、基于海量用户数据和特征，建立用户安全画像，对用户进行行为分析和风险评估
2、利用大数据平台，对各类事件数据的追溯调查、关联分析进行建模
3、能够从海量数据中发现关联特征，结合业务需求和场景，多维度挖掘数据价值，建立算法模型，应用在业务场景中
任职要求：
1、数学、统计学、计算机、人工智能相关专业，本科及以上学历，硕士优先
2、3年及以上数据建模分析经验，了解常用的算法模型
3、熟练使用scala/java/python中的任一编程语言
4、有行业分析建模、用户画像分析等经验者优先
5、具有机器学习和数据挖掘领域的理论背景和实践经验者优先
6、具有AI视觉工作经验优先"
